#format table ## [Custom WaveView] saved 15:00:04 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 6.730E-03 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 1.348E+00 
 6.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 6.830E-03 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 1.348E+00 , 5.417E-08 
 6.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.900E-06 
 6.930E-03 , 5.433E-08 , 5.433E-08 , 5.433E-08 , 5.433E-08 , 1.348E+00 , 5.434E-08 
 6.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 7.030E-03 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 1.348E+00 , 5.433E-08 
 7.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 7.130E-03 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 1.348E+00 , 5.439E-08 
 7.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.899E-06 
 7.230E-03 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 1.348E+00 , 5.429E-08 
 7.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.899E-06 
 7.330E-03 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 1.348E+00 , 5.425E-08 
 7.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.898E-06 
 7.430E-03 , 1.098E-07 , 1.098E-07 , 1.098E-07 , 1.098E-07 , 1.348E+00 , 1.348E+00 
 7.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.898E-06 
 7.530E-03 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 1.348E+00 , 5.430E-08 
 7.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.897E-06 
 7.630E-03 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.348E+00 , 1.348E+00 
 7.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.896E-06 
 7.730E-03 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 5.431E-08 , 1.348E+00 , 5.430E-08 
 7.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.896E-06 
 7.830E-03 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 
 7.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.402E-06 , 1.348E+00 
